node,node_type,x,y,z,n_subjects
L_Cerebellum_WM,subcortical,-16.312683616022834,-37.67963145961639,-34.18761668409791,150
L_Cerebellum_Cortex,subcortical,-21.535098656708104,-45.05406340307222,-37.219636833510755,150
L_Thalamus,subcortical,-9.607132143597823,-12.914332091536096,6.624715091131647,150
L_Caudate,subcortical,-11.472179058695982,12.026479777154556,14.10599139017746,150
L_Putamen,subcortical,-23.238581505467003,6.200523525575663,3.6163308363425357,150
L_Pallidum,subcortical,-17.178995521221736,1.9594952774569856,2.3333262560145105,150
L_Hippocampus,subcortical,-22.501378739033086,-12.799450573916667,-11.707432854305221,150
L_Amygdala,subcortical,-20.680760606737945,4.344347231705392,-14.007918515903118,150
L_Accumbens,subcortical,-6.512197132708834,16.42625153481247,-0.678068269379761,150
L_VentralDC,subcortical,-9.07528592941334,-6.9754215008349885,-7.096805156959984,150
R_Cerebellum_WM,subcortical,17.164677419508827,-37.94872014020854,-33.8969048778583,150
R_Cerebellum_Cortex,subcortical,22.00151387526165,-45.53232026040349,-36.95464520222308,150
R_Thalamus,subcortical,11.16498019830638,-12.032120526250273,7.181565726148369,150
R_Caudate,subcortical,13.541976274443101,12.505351675460698,14.836910386411589,150
R_Putamen,subcortical,25.101482128546746,7.1447378898753655,4.153344963277932,150
R_Pallidum,subcortical,19.19749685831631,2.592173528210312,3.011958223265686,150
R_Hippocampus,subcortical,24.634562714286822,-12.420817773627572,-11.057241800577934,150
R_Amygdala,subcortical,22.44201453720036,4.74278052802174,-13.498087655226344,150
R_Accumbens,subcortical,9.03242823902332,17.247205600654258,-0.31300552640936835,150
R_VentralDC,subcortical,10.865326674055225,-6.33241216792667,-6.638943132253843,150
Brainstem,subcortical,0.9100659455027638,-16.76307765251215,-27.67282287944587,150
CC_Posterior,subcortical,0.6359685660562838,-28.298110793287883,12.438650532018777,150
CC_Mid_Posterior,subcortical,0.7052981540655101,-13.998142453011411,20.81287140511072,150
CC_Central,subcortical,0.7677886031246347,0.053955955405618566,24.01073190458369,150
CC_Mid_Anterior,subcortical,0.850086807213706,14.789013179648851,22.057074890794173,150
CC_Anterior,subcortical,0.9341851511956539,27.58146789789183,13.664626005303798,150
L_CerebralWM,subcortical,-25.252204941974874,-15.077253971805321,16.748485930041415,150
R_CerebralWM,subcortical,26.83626751888517,-13.99814730704026,17.685521912326802,150
lh_bankssts,cortical,-50.060689056170574,-35.99702538317374,2.255371907225194,150
lh_caudalanteriorcingulate,cortical,-2.9618918610305087,18.963772590578923,31.149387096029873,150
lh_caudalmiddlefrontal,cortical,-31.846736375219187,8.516933177910484,45.31610215781706,150
lh_cuneus,cortical,-5.487410381148805,-71.69310070024837,6.653981491709973,150
lh_entorhinal,cortical,-22.136597374987463,4.463845096444001,-26.82802166452576,150
lh_fusiform,cortical,-31.891477370383605,-33.71477598117511,-20.836545955782523,150
lh_inferiorparietal,cortical,-37.597330102085195,-61.90746667042845,18.371321317540282,150
lh_inferiortemporal,cortical,-46.864466547937624,-22.636981477717928,-21.100346139750197,150
lh_isthmuscingulate,cortical,-5.485822116327475,-38.43882008020571,11.395653568047752,150
lh_lateraloccipital,cortical,-26.49741819445508,-76.95959809738756,-10.476247824704354,150
lh_lateralorbitofrontal,cortical,-21.153811549250868,38.02660630749181,-5.90675841139759,150
lh_lingual,cortical,-12.01895297164131,-57.40707218388957,-12.159903300417033,150
lh_medialorbitofrontal,cortical,-4.466055564825462,41.87252533783281,-2.811753095233441,150
lh_middletemporal,cortical,-53.23359300397402,-17.302503974307083,-11.064547607690962,150
lh_parahippocampal,cortical,-21.773963570895038,-20.956988143722636,-17.40758202984617,150
lh_paracentral,cortical,-6.273642584176308,-30.734342009773616,47.824151239578185,150
lh_parsopercularis,cortical,-42.331661813805596,18.53641816696742,18.25445193233708,150
lh_parsorbitalis,cortical,-38.19809660317834,44.777335261525444,-1.6134267276218643,150
lh_parstriangularis,cortical,-41.02554180410614,35.63227543543029,10.921682091331789,150
lh_pericalcarine,cortical,-9.998901161834901,-69.761982012171,-4.536208726720012,150
lh_postcentral,cortical,-39.6800826633077,-22.56775393565945,39.438074122454594,150
lh_posteriorcingulate,cortical,-4.533595872292004,-18.170482546901287,32.92256219509662,150
lh_precentral,cortical,-35.35475237368399,-10.020658162887315,40.431589327340724,150
lh_precuneus,cortical,-8.76125995049469,-54.063317165614286,25.714892850341617,150
lh_rostralanteriorcingulate,cortical,-2.7649365146968603,39.460812790854085,10.942068402308902,150
lh_rostralmiddlefrontal,cortical,-29.434996534200668,45.51513736985908,26.31433059194467,150
lh_superiorfrontal,cortical,-9.453693237699602,23.980331941574466,45.44835630431634,150
lh_superiorparietal,cortical,-21.302337408770452,-60.47405632608725,34.39207333226585,150
lh_superiortemporal,cortical,-48.41347946001795,-6.343555803443028,-0.5297810483274525,150
lh_supramarginal,cortical,-48.350360528335244,-34.29391178531138,25.929148925060222,150
lh_frontalpole,cortical,-6.289660399226097,70.72798900626346,7.570509422305401,150
lh_temporalpole,cortical,-28.00057994724355,23.249377104712792,-24.73400460248455,150
lh_transversetemporal,cortical,-40.345366341261574,-15.545385541534348,8.323490583015952,150
lh_insula,cortical,-32.763732954167686,3.5034417293754707,5.540953504190125,150
rh_bankssts,cortical,49.79400720850326,-32.28281829081082,4.476980773136138,150
rh_caudalanteriorcingulate,cortical,5.052882691599706,20.08491928134139,30.628712747106995,150
rh_caudalmiddlefrontal,cortical,34.195235892550826,8.841910919611992,45.924619840826495,150
rh_cuneus,cortical,7.274855478570183,-71.5192869036347,8.178644927862887,150
