condition,model,site,test_auc,n_test
leaky_nodx,xgboost,STANFORD,0.5448916408668731,36
leaky_dx,logreg,STANFORD,0.5603715170278638,36
leaky_dx,svm_rbf,STANFORD,0.6718266253869969,36
leaky_dx,xgboost,STANFORD,0.6006191950464397,36
train_only,logreg,TRINITY,0.42063492063492064,45
train_only,svm_rbf,TRINITY,0.490079365079365,45
train_only,xgboost,TRINITY,0.39087301587301587,45
leaky_nodx,logreg,TRINITY,0.4246031746031746,45
leaky_nodx,svm_rbf,TRINITY,0.48809523809523814,45
leaky_nodx,xgboost,TRINITY,0.3650793650793651,45
leaky_dx,logreg,TRINITY,0.3948412698412699,45
leaky_dx,svm_rbf,TRINITY,0.4801587301587302,45
leaky_dx,xgboost,TRINITY,0.38095238095238093,45
train_only,logreg,UCLA_1,0.5072580645161291,71
train_only,svm_rbf,UCLA_1,0.5838709677419355,71
train_only,xgboost,UCLA_1,0.5362903225806452,71
leaky_nodx,logreg,UCLA_1,0.5153225806451613,71
leaky_nodx,svm_rbf,UCLA_1,0.5854838709677419,71
leaky_nodx,xgboost,UCLA_1,0.5548387096774193,71
leaky_dx,logreg,UCLA_1,0.4967741935483872,71
leaky_dx,svm_rbf,UCLA_1,0.5685483870967742,71
leaky_dx,xgboost,UCLA_1,0.5524193548387097,71
train_only,logreg,UCLA_2,0.5902777777777778,24
train_only,svm_rbf,UCLA_2,0.5347222222222222,24
train_only,xgboost,UCLA_2,0.6111111111111112,24
leaky_nodx,logreg,UCLA_2,0.5833333333333334,24
leaky_nodx,svm_rbf,UCLA_2,0.5555555555555556,24
leaky_nodx,xgboost,UCLA_2,0.5555555555555556,24
leaky_dx,logreg,UCLA_2,0.673611111111111,24
leaky_dx,svm_rbf,UCLA_2,0.6006944444444445,24
leaky_dx,xgboost,UCLA_2,0.5763888888888888,24
train_only,logreg,UM_1,0.6721970839617899,90
train_only,svm_rbf,UM_1,0.6701860231271997,90
train_only,xgboost,UM_1,0.6706887883358472,90
leaky_nodx,logreg,UM_1,0.6681749622926094,90
leaky_nodx,svm_rbf,UM_1,0.6737053795877325,90
leaky_nodx,xgboost,UM_1,0.6566113624937154,90
leaky_dx,logreg,UM_1,0.6867772750125691,90
leaky_dx,svm_rbf,UM_1,0.685771744595274,90
leaky_dx,xgboost,UM_1,0.6540975364504776,90
train_only,logreg,UM_2,0.5657894736842105,31
train_only,svm_rbf,UM_2,0.587719298245614,31
train_only,xgboost,UM_2,0.5877192982456141,31
leaky_nodx,logreg,UM_2,0.5701754385964912,31
leaky_nodx,svm_rbf,UM_2,0.5833333333333333,31
leaky_nodx,xgboost,UM_2,0.6096491228070176,31
leaky_dx,logreg,UM_2,0.5789473684210527,31
leaky_dx,svm_rbf,UM_2,0.5877192982456141,31
leaky_dx,xgboost,UM_2,0.5964912280701754,31
train_only,logreg,USM,0.680952380952381,67
train_only,svm_rbf,USM,0.4895238095238095,67
train_only,xgboost,USM,0.520952380952381,67
leaky_nodx,logreg,USM,0.6876190476190477,67
leaky_nodx,svm_rbf,USM,0.4876190476190476,67
leaky_nodx,xgboost,USM,0.54,67
leaky_dx,logreg,USM,0.6695238095238095,67
leaky_dx,svm_rbf,USM,0.48095238095238096,67
leaky_dx,xgboost,USM,0.5190476190476191,67
train_only,logreg,YALE,0.6568877551020409,56
train_only,svm_rbf,YALE,0.8010204081632653,56
train_only,xgboost,YALE,0.6683673469387754,56
leaky_nodx,logreg,YALE,0.6556122448979592,56
leaky_nodx,svm_rbf,YALE,0.8010204081632653,56
leaky_nodx,xgboost,YALE,0.6811224489795917,56
leaky_dx,logreg,YALE,0.6683673469387755,56
leaky_dx,svm_rbf,YALE,0.8054846938775511,56
leaky_dx,xgboost,YALE,0.6913265306122449,56
