model,mean_auc,std_auc,n_sites,accuracy,sensitivity,specificity
svm_rbf,0.603671759867203,0.08887422852145009,20,0.5792322147913687,0.3979104411457353,0.7567963811353156
rf,0.5969065971966155,0.08845470551565372,20,0.5742322563956591,0.4371063866210925,0.7136695200047243
xgboost,0.5859553190052016,0.08750702827285231,20,0.5711425929722334,0.41370259329082865,0.7245650936588517
logreg,0.5794495818018752,0.089691836206369,20,0.5522995154196804,0.3577972487898959,0.7353674970207728
mlp,0.5720416950647706,0.058418936555956,20,0.5467471693240029,0.4265418502771443,0.6647596256972719
svm_linear,0.5544078406677271,0.08916090833938921,20,0.5271785437856886,0.241370130708366,0.7985570782125763
dummy,0.5,0.0,20,0.5218484161274699,0.0,1.0
