baseline,baseline_auc,gnn_auc,delta,W,p,p_holm,rank_biserial,n_sites_won,n_sites
svm_rbf,0.603671759867203,0.5556864562776633,-0.04798530358953973,36.0,0.00830841064453125,0.05815887451171875,-0.6571428571428571,5,20
rf,0.5969065971966154,0.5556864562776633,-0.04122014091895223,41.5,0.01774814184505318,0.08874070922526589,-0.6047619047619047,6,20
xgboost,0.5859553190052016,0.5556864562776633,-0.03026886272753827,83.0,0.4304332733154297,1.0,-0.20952380952380953,11,20
logreg,0.5794495818018752,0.5556864562776633,-0.023763125524211986,96.0,0.7561664581298828,1.0,-0.08571428571428572,11,20
mlp,0.5720416950647706,0.5556864562776633,-0.01635523878710738,96.0,0.7561664581298828,1.0,-0.08571428571428572,10,20
svm_linear,0.554407840667727,0.5556864562776633,0.0012786156099362012,96.0,0.7561664581298828,1.0,0.08571428571428572,10,20
dummy,0.5,0.5556864562776633,0.0556864562776633,40.0,0.013616561889648438,0.08169937133789062,0.6190476190476191,15,20
